"","meanDiff","tstat","pval","qval","bonf","meanControl","nearestGene","nearestRefseq","nearestGeneDist","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits"
"cg15868237",-0.00591881719036308,-5.92776732065721,1.06994388206938e-08,4.56589828036097e-06,0.0048844329143514,0.0727793770679519,"DIS3L2","NM_001257281",93,"DIS3L2","NM_001257281","promoter","promoter",93,NA,NA,NA,21,NA,"+",375615,321702,"129563",7187
"cg15779458",-0.0243210870499524,-5.92748800315141,1.07153038748431e-08,4.56589828036097e-06,0.00489167551781625,0.0779619170217469,"EIF4E2","NM_001276336",0,"EIF4E2","NM_001276336","inside intron","inside",594,"inside intron",-496,1,7,"inside transcription region","+",32992,30218,"9470",59857
"cg08932320",-0.0147377995941027,-5.92745036004316,1.07174437374923e-08,4.56589828036097e-06,0.00489265239293381,0.0942253565160233,"GMDS","NM_001253846",-209,"GMDS","NM_001253846","promoter","promoter",209,NA,NA,NA,11,NA,"-",621833,621252,"2762",20798
"cg20104535",-0.00906242407910742,-5.92737367799524,1.07218041031624e-08,4.56589828036097e-06,0.00489464295654695,0.0842571211786959,"SLC25A12","NM_003705",-180,"SLC25A12","NM_003705","promoter","promoter",180,NA,NA,NA,18,NA,"-",110901,108940,"8604",56101
"cg11230251",-0.00858276842289068,-5.9255310146565,1.08271066271119e-08,4.60644448058036e-06,0.00494271492766273,0.0989470268732655,"WDFY1","NM_020830",0,"WDFY1","NM_020830","inside intron","inside",537,"inside intron",349,1,12,"inside transcription region","-",69987,66613,"57590",40425
"cg01250699",-0.0122629487441351,-5.92522910923569,1.08444557482177e-08,4.60952982028503e-06,0.00495063502698612,0.0888247223005585,"SLC39A14","NM_001128431",0,"SLC39A14","NM_001128431","inside exon","inside",135,"inside exon",0,1,9,"5' UTR","+",55199,14987,"23516",16793
"cg23920472",-0.0114696221065322,-5.92481978531293,1.08680211415077e-08,4.6133033955706e-06,0.0049613929353731,0.0754396824169734,"PSMC3","NM_002804",-148,"PSMC3","NM_002804","promoter","promoter",148,NA,NA,NA,12,NA,"-",7704,7444,"5702",39365
"cg17022635",-0.00802850080636413,-5.92472397050539,1.08735445729562e-08,4.6133033955706e-06,0.00496391445363396,0.047949174259851,"FUS","NM_001010850",556,"FUS","NM_001010850","promoter","promoter",556,NA,NA,NA,3,NA,"+",3240,2628,"2521",17515
"cg25581352",-0.00793843661899107,-5.92400338655323,1.09151720883806e-08,4.62666476841493e-06,0.00498291795558288,0.0650429162058232,"ZBED3","NM_032367",-136,"ZBED3","NM_032367","promoter","promoter",136,NA,NA,NA,3,NA,"-",10498,704,"84327",54435
"cg15888087",-0.00962148779815606,-5.92276168049238,1.09872703315629e-08,4.65165392368133e-06,0.00501583174087277,0.0744252769730838,"H2AFY","NM_001040158",0,"H2AFY","NM_001040158","inside intron","inside",473,"inside intron",334,1,9,"5' UTR","-",65506,54117,"9555",60131
"cg18644191",-0.020266624682338,-5.92263751760035,1.09945052685294e-08,4.65165392368133e-06,0.00501913458365216,0.0997843188081624,"LPPR4","NM_001166252",0,"LPPR4","NM_001166252","inside exon","inside",376,"inside exon",0,1,6,"inside transcription region","+",45290,42560,"9890",61406
"cg22593533",-0.00708360094733587,-5.92045189133331,1.11226265543191e-08,4.70150334832582e-06,0.00507762361619188,0.0819709960486214,"OLIG2","NM_005806",562,"OLIG2","NM_005806","promoter","promoter",562,NA,NA,NA,2,NA,"+",3287,971,"10215",1585
"cg26222042",-0.0207590030912602,-5.91979796011174,1.11612429246579e-08,4.71346206407435e-06,0.00509525249126437,0.0792973993555488,"DROSHA","NM_001100412",0,"DROSHA","NM_001100412","inside exon","inside",82,"inside exon",0,1,29,"5' UTR","-",121429,118312,"29102",22362
"cg27194081",-0.00835068027273979,-5.91827318323273,1.12517950038231e-08,4.74605208453896e-06,0.00513659069258028,0.0988920134842736,"SELO","NM_031454",0,"SELO","NM_031454","inside intron","inside",866,"inside intron",-254,1,9,"inside transcription region","+",16637,16332,"83642",53439
"cg10055139",-0.00985251382684374,-5.91814890530073,1.12592070928006e-08,4.74605208453896e-06,0.0051399744075557,0.0584097433998304,"HSPB2-C11orf52","NR_037651",0,"HSPB2-C11orf52","NR_037651","inside exon","inside",14092,"inside exon",0,5,5,"3'UTR","+",14135,7226,"100528019",831
"cg06311778",-0.0137695662172021,-5.91783535411263,1.12779288980875e-08,4.74756316665833e-06,0.00514852115505262,0.0910115089803445,"LOC283335","NR_033854",0,"LOC283335","NR_033854","inside intron","inside",6640,"inside intron",-1736,3,4,"5' UTR","-",11249,828,"283335",21129
"cg06550546",-0.00824793237982573,-5.91765840030438,1.12885080544422e-08,4.74756316665833e-06,0.00515335067745759,0.0618459299078197,"ANKFY1","NM_001257999",0,"ANKFY1","NM_001257999","inside intron","inside",427,"inside intron",379,1,4,"inside transcription region","-",47462,47049,"51479",32646
"cg11644596",-0.0219834914012676,-5.91756675699261,1.12939907494221e-08,4.74756316665833e-06,0.00515585359899095,0.260578750626,"LRRC3","NM_030891",514,"LRRC3","NM_030891","promoter","promoter",514,NA,NA,NA,2,NA,"+",3346,773,"81543",52561
"cg18767088",-0.0150958697905685,-5.91713855847722,1.1319642878124e-08,4.75002972987723e-06,0.00516756412922104,0.113293920828637,"BACH1","NM_001011545",301,"BACH1","NM_001011545","promoter","promoter",301,NA,NA,NA,5,NA,"+",47249,21552,"571",39482
"cg19379625",-0.0146865959322534,-5.9171214577422,1.13206685156971e-08,4.75002972987723e-06,0.00516803234610643,0.081769985360654,"DCK","NM_000788",178,"DCK","NM_000788","promoter","promoter",178,NA,NA,NA,7,NA,"+",37364,35542,"1633",10816
"cg21419428",-0.0112033764306247,-5.91512631062925,1.14409557769232e-08,4.7960927865845e-06,0.00522294504459052,0.0766341207061197,"SIK2","NM_015191",0,"SIK2","NM_015191","inside intron","inside",768,"inside intron",-515,1,15,"inside transcription region","+",124462,121565,"23235",15915
"cg15157828",-0.0241036030557926,-5.914840897521,1.14582651745409e-08,4.7989422106653e-06,0.00523084700962518,0.130775376575293,"FHOD1","NM_013241",0,"FHOD1","NM_013241","inside intron","inside",462,"inside intron",149,1,13,"5' UTR","-",13865,3438,"29109",22376
"cg04551155",-0.0147923011980837,-5.91415352243542,1.15000574570659e-08,4.80460267023801e-06,0.00524992572989751,0.0956565551945888,"ISLR2","NM_001130136",0,"ISLR2","NM_001130136","inside exon","inside",5440,"inside exon",0,3,3,"3'UTR","+",6400,2237,"57611",40494
"cg15409399",-0.00701114763023113,-5.91406548429058,1.15054209166739e-08,4.80460267023801e-06,0.00525237421893354,0.0902717522442098,"FCHO2","NM_001146032",0,"FCHO2","NM_001146032","inside intron","inside",682,"inside intron",-533,1,25,"inside transcription region","+",134541,131993,"115548",5497
"cg14784497",-0.0123727037756221,-5.91377229276605,1.15233003728343e-08,4.80460267023801e-06,0.00526053642310373,0.0939525943316877,"LRRN1","NM_020873",0,"LRRN1","NM_020873","inside exon","inside",336,"inside exon",0,1,2,"5' UTR","+",48266,2150,"57633",40536
"cg09672152",-0.0145391976774737,-5.9135715107093,1.15355601695388e-08,4.80460267023801e-06,0.00526613317967667,0.113186345214851,"PPT2","NM_001204103",0,"PPT2","NM_001204103","inside exon","inside",326,"inside exon",0,1,9,"5' UTR","+",9682,8355,"9374",59444
"cg07327396",-0.0104561322345582,-5.91352601686307,1.15383398056853e-08,4.80460267023801e-06,0.0052674021197128,0.07273584191031,"MFSD8","NM_152778",0,"MFSD8","NM_152778","inside intron","inside",896,"inside intron",808,1,8,"5' UTR","-",35301,24506,"256471",18022
"cg03079549",-0.0178981072403854,-5.91344743444642,1.15431426687321e-08,4.80460267023801e-06,0.0052695946891309,0.0762840465433599,"BLOC1S6","NM_012388",194,"BLOC1S6","NM_012388","promoter","promoter",194,NA,NA,NA,5,NA,"+",22492,19070,"26258",19441
"cg05550371",-0.0161188200672091,-5.91340965434648,1.15454524389253e-08,4.80460267023801e-06,0.0052706491292511,0.0764536425210701,"FAM212A","NM_203370",0,"FAM212A","NM_203370","inside intron","inside",480,"inside intron",-290,1,2,"inside transcription region","+",1776,1600,"389119",26833
"cg11212172",-0.0127462808269246,-5.91262471623803,1.15935437367827e-08,4.82022170483594e-06,0.00529260343190986,0.0566889477590424,"PRKG1","NM_001098512",0,"PRKG1","NM_001098512","inside intron","inside",625204,"inside intron",104906,4,18,"inside transcription region","+",1223876,1219309,"5592",38195
"cg00247557",-0.0107241481363525,-5.91226796452083,1.16154657603757e-08,4.82494187503766e-06,0.00530261112066639,0.119756928821711,"C18orf42","NM_001145194",0,"C18orf42","NM_001145194","inside exon","inside",184,"inside exon",0,1,2,"5' UTR","-",53583,51491,"642597",43621
"cg00172020",-0.0121419776723954,-5.91164439519471,1.16538808310152e-08,4.83649827255384e-06,0.00532014809980922,0.0782972768106965,"SERP1","NM_014445",0,"SERP1","NM_014445","inside exon","inside",490,"inside exon",0,1,3,"5' UTR","-",5184,1677,"27230",20433
"cg02741554",-0.0132755774523033,-5.91095551960413,1.16964635352594e-08,4.84976172377101e-06,0.00533958765787188,0.115169116980961,"CXCL2","NM_002089",-281,"CXCL2","NM_002089","promoter","promoter",281,NA,NA,NA,4,NA,"-",2243,1364,"2920",22468
"cg04255048",-0.0150313621179803,-5.91035012765061,1.17340112914009e-08,4.86091533273258e-06,0.0053567286966713,0.0633015976087913,"KIF9","NM_001134878",0,"KIF9","NM_001134878","inside exon","inside",469,"inside exon",0,2,22,"5' UTR","-",54821,48722,"64147",43471
"cg17963456",-0.011406791144717,-5.90978930031145,1.17689002014917e-08,4.87094826625893e-06,0.0053726559376836,0.092228548304482,"MRPL32","NM_031903",2,"MRPL32","NM_031903","promoter","promoter",2,NA,NA,NA,3,NA,"+",5514,5189,"64983",44681
"cg19475535",-0.0144954487065552,-5.90945214098884,1.17899235860091e-08,4.87522951632227e-06,0.00538225338601979,0.0886002842750911,"ADAMTS3","NM_014243",-264,"ADAMTS3","NM_014243","promoter","promoter",264,NA,NA,NA,22,NA,"-",287830,285626,"9508",59981
"cg17290076",-0.021908509362148,-5.9075292429328,1.1910528624036e-08,4.92064357804937e-06,0.00543731115374455,0.127721016777515,"TIAM2","NM_001010927",0,"TIAM2","NM_001010927","inside intron","inside",163081,"inside intron",-51571,3,29,"5' UTR","+",425026,127897,"26230",19382
"cg00729541",-0.0155696630778986,-5.90727625890082,1.19264854192182e-08,4.92256209412633e-06,0.00544459563818354,0.071283089836813,"FAM73B","NM_032809",676,"FAM73B","NM_032809","promoter","promoter",676,NA,NA,NA,13,NA,"+",32001,27938,"84895",55285
"cg01863374",-0.0215835701302211,-5.90694988476345,1.19471021262441e-08,4.92256209412633e-06,0.00545400743295806,0.100278985322056,"LOC440461","NR_027283",-532,"LOC440461","NR_027283","close to 3'","close to 3'",2174,NA,NA,NA,1,NA,"+",1642,758,"440461",29166
"cg06809544",-0.0125389272755287,-5.90694325440537,1.19475213198572e-08,4.92256209412633e-06,0.00545419880029197,0.123491005802176,"MAGI2","NM_001301128",0,"MAGI2","NM_001301128","inside intron","inside",1224,"inside intron",669,1,21,"inside transcription region","-",1436516,1434004,"9863",61279
"cg17885806",-0.0241316325680481,-5.90598597331319,1.20081950349775e-08,4.94309931470034e-06,0.00548189714000267,0.0895516685903936,"RXRG","NM_001256570",0,"RXRG","NM_001256570","inside exon","inside",101,"inside exon",0,1,11,"5' UTR","-",44433,18679,"6258",42681
"cg00360600",-0.00964729594032332,-5.90541264559051,1.20446774305409e-08,4.9496331695944e-06,0.00549855182784853,0.104325745649731,"RMDN2","NM_001170791",163,"RMDN2","NM_001170791","promoter","promoter",163,NA,NA,NA,9,NA,"+",73044,46962,"151393",9651
"cg05013783",-0.0109128848060456,-5.9053957819243,1.20457521503646e-08,4.9496331695944e-06,0.00549904245141938,0.0740394952539213,"ANKRD52","NM_173595",0,"ANKRD52","NM_173595","inside exon","inside",85,"inside exon",0,1,28,"5' UTR","-",20552,15127,"283373",21138
"cg11368597",-0.0198351289877814,-5.90407005895206,1.21305344168882e-08,4.97998800202959e-06,0.0055377466582569,0.0865707690632619,"YEATS2","NM_018023",123,"YEATS2","NM_018023","promoter","promoter",123,NA,NA,NA,31,NA,"+",114807,95420,"55689",37435
"cg06957169",-0.0232564362381569,-5.90347878954886,1.2168534990082e-08,4.99110010236057e-06,0.00555509441392731,0.068015568244229,"GPATCH4","NM_015590",-272,"GPATCH4","NM_015590","promoter","promoter",272,NA,NA,NA,8,NA,"-",7179,3833,"54865",35248
"cg15912797",-0.00796737422399495,-5.90315218579472,1.21895755194563e-08,4.99131804893108e-06,0.00556469968911355,0.0715745903589506,"KAT6B","NM_001256468",0,"KAT6B","NM_001256468","inside exon","inside",211,"inside exon",0,1,18,"5' UTR","+",206209,188188,"23522",16809
"cg26788916",-0.00805493073042467,-5.9031311253551,1.21909334992829e-08,4.99131804893108e-06,0.00556531962455815,0.0588671221951512,"ZBTB46","NM_025224",-24683,"ZBTB46","NM_025224","upstream","upstream",24683,NA,NA,NA,5,NA,"-",61835,43827,"140685",8222
"cg10657739",-0.0110455309189525,-5.90287800730702,1.2207266159983e-08,4.99352660976015e-06,0.00557277569649233,0.0714968841008373,"CCDC173","NM_001085447",0,"CCDC173","NM_001085447","inside exon","inside",122,"inside exon",0,1,9,"inside transcription region","-",48996,48486,"129881",7226
"cg18797229",-0.0206437895841453,-5.90253181931773,1.22296388843255e-08,4.99389192462454e-06,0.00558298913600009,0.0955125454109512,"TAPBP","NM_003190",0,"TAPBP","NM_003190","inside exon","inside",14641,"inside exon",0,7,7,"3'UTR","-",14692,12281,"6892",46309
"cg07673133",-0.0150604907316068,-5.90252565477324,1.22300376368915e-08,4.99389192462454e-06,0.00558317117173024,0.0940140376871893,"ZBTB16","NM_001018011",420,"ZBTB16","NM_001018011","promoter","promoter",420,NA,NA,NA,4,NA,"+",130055,123799,"7704",48884
"cg23928744",0.0207564611333603,5.90180739773353,1.22765851099205e-08,5.00443047442138e-06,0.00560442069828514,0.892492700296885,"KCNC4","NM_001039574",0,"KCNC4","NM_001039574","inside exon","inside",12466,"inside exon",0,2,4,"inside transcription region","+",23338,20809,"3749",26024
"cg21872391",-0.0134287151602233,-5.90178913151596,1.22777711288659e-08,5.00443047442138e-06,0.00560496213135195,0.0581869953930407,"SMNDC1","NM_005871",0,"SMNDC1","NM_005871","inside intron","inside",650,"inside intron",448,1,6,"5' UTR","-",11909,9437,"10285",1786
"cg26228569",-0.0114301731166433,-5.90147702335348,1.22980535189267e-08,5.00822596439412e-06,0.00561422130608581,0.077336870319174,"MED27","NM_001253881",-60,"MED27","NM_001253881","promoter","promoter",60,NA,NA,NA,8,NA,"-",219777,219306,"9442",59764
"cg04555312",-0.0136073271275499,-5.90027105049507,1.23767321221242e-08,5.03115067093862e-06,0.00565013911126727,0.113036354162827,"HOXC9","NM_006897",4763,"HOXC9","NM_006897","upstream","upstream",4763,NA,NA,NA,2,NA,"+",3243,2485,"3225",24112
"cg14650167",-0.0317923544145239,-5.90014457948828,1.23850116448865e-08,5.03115067093862e-06,0.00565391882104207,0.131768621973598,"FSTL5","NM_001128427",-132,"FSTL5","NM_001128427","promoter","promoter",132,NA,NA,NA,16,NA,"-",780142,725649,"56884",38975
"cg05820448",-0.0178988283309015,-5.90010797129045,1.23874092394631e-08,5.03115067093862e-06,0.00565501335413501,0.096142265426471,"SHH","NM_000193",-127,"SHH","NM_000193","promoter","promoter",127,NA,NA,NA,3,NA,"-",9409,9222,"6469",44192
"cg05147328",-0.0082338659325231,-5.89792753781288,1.25310346196951e-08,5.08496018430298e-06,0.00572058020734085,0.0943584914423505,"ALYREF","NM_005782",0,"ALYREF","NM_005782","inside exon","inside",24,"inside exon",0,1,6,"inside transcription region","-",3751,3449,"10189",1491
"cg02401132",-0.0143439033625406,-5.89748102156492,1.25606469008511e-08,5.09244990998955e-06,0.00573409859864823,0.107682363010754,"ID4","NM_001546",32197,"ID4","NM_001546","upstream","upstream",32197,NA,NA,NA,3,NA,"+",4830,873,"3400",24665
"cg00712136",-0.0215544260916308,-5.8970570970552,1.25888242386759e-08,5.09934509287546e-06,0.00574696191967065,0.099516294469903,"MEGF8","NM_001271938",197,"MEGF8","NM_001271938","promoter","promoter",197,NA,NA,NA,41,NA,"+",53160,50531,"1954",12199
"cg22111723",-0.0094002333536705,-5.89651208978346,1.26251404969511e-08,5.10606343160271e-06,0.00576354076368462,0.0655262305772033,"ZDHHC20","NM_001286638",74046,"ZDHHC20","NM_001286638","downstream","downstream",160844,NA,NA,NA,12,NA,"-",86798,82523,"253832",17662
"cg11951600",-0.00894724904963052,-5.89642502797953,1.26309512923089e-08,5.10606343160271e-06,0.00576619346730582,0.0721073663299059,"TTC30B","NM_152517",-44,"TTC30B","NM_152517","promoter","promoter",44,NA,NA,NA,1,NA,"-",2643,1997,"150737",9549
"cg03669052",-0.00679658225567424,-5.89628506138143,1.26402986116059e-08,5.10606343160271e-06,0.00577046064008006,0.0536022384659552,"CNDP2","NM_001168499",0,"CNDP2","NM_001168499","inside intron","inside",502,"inside intron",-335,1,12,"5' UTR","+",27189,20094,"55748",37661
"cg05315865",-0.0215337680828626,-5.89606802499675,1.26548062195918e-08,5.10606343160271e-06,0.00577708355172453,0.0896937704398126,"ZDHHC2","NM_016353",427,"ZDHHC2","NM_016353","promoter","promoter",427,NA,NA,NA,13,NA,"+",66405,60488,"51201",31985
"cg16557944",-0.00761179169120742,-5.8959160285497,1.26649759809211e-08,5.10606343160271e-06,0.00578172617997822,0.0662580954519121,"GPX7","NM_015696",0,"GPX7","NM_015696","inside exon","inside",154,"inside exon",0,1,3,"inside transcription region","+",6680,6015,"2882",22026
"cg18956558",-0.0182918579239066,-5.89580336164204,1.26725194419565e-08,5.10606343160271e-06,0.00578516986800587,0.0682875983601161,"RNF41","NM_001242826",-62,"RNF41","NM_001242826","promoter","promoter",62,NA,NA,NA,7,NA,"-",19465,7600,"10193",1500
"cg27020281",-0.00722848366891701,-5.89465162900211,1.27498845583273e-08,5.13270551091331e-06,0.00582048804937569,0.0624956458365762,"NOL11","NM_001303272",0,"NOL11","NM_001303272","inside exon","inside",86,"inside exon",0,1,17,"5' UTR","+",26205,19783,"25926",18646
"cg03109443",-0.0192778403635641,-5.89297943288903,1.28630332014413e-08,5.17369328272208e-06,0.00587214187588956,0.103902774602275,"PFDN6","NM_001185181",0,"PFDN6","NM_001185181","inside exon","inside",195,"inside exon",0,1,4,"5' UTR","+",1299,988,"10471",2354
"cg08719869",-0.0096091936467708,-5.89271994331125,1.28806792492966e-08,5.17580464425434e-06,0.00588019752613414,0.0918971371080787,"PTPRD","NM_001040712",0,"PTPRD","NM_001040712","inside intron","inside",1755237,"inside intron",-123539,13,17,"5' UTR","-",2084571,205418,"5789",40990
"cg21142158",-0.0180289260254367,-5.89256895276338,1.28909579366134e-08,5.17580464425434e-06,0.00588488988051719,0.126033864613786,"COG6","NM_001145079",75,"COG6","NM_001145079","promoter","promoter",75,NA,NA,NA,19,NA,"+",97001,95366,"57511",40205
"cg10128166",-0.0158622859488393,-5.89111964998235,1.29900280640817e-08,5.2043082517149e-06,0.00593011668161813,0.0950240936324136,"PSMB8","NM_004159",0,"PSMB8","NM_004159","inside exon","inside",491,"inside exon",0,1,6,"5' UTR","-",4218,3454,"5696",39195
"cg00148825",-0.0156412027593291,-5.89108948007141,1.29920982802611e-08,5.2043082517149e-06,0.00593106176221685,0.087901551888292,"SPRY1","NM_001258038",-102280,"SPRY1","NM_001258038","downstream","downstream",109245,NA,NA,NA,2,NA,"+",6965,959,"10252",1696
"cg08907850",-0.0140654435080993,-5.89097964638382,1.29996376359148e-08,5.2043082517149e-06,0.00593450357608438,0.0638391668021576,"IDI1","NM_004508",0,"IDI1","NM_004508","inside intron","inside",7668,"inside intron",-4864,3,6,"5' UTR","-",16680,2956,"3422",24839
"cg08280787",-0.0110880674654629,-5.89086444430481,1.3007550092126e-08,5.2043082517149e-06,0.00593811571520671,0.0630662333356612,"SUCLA2","NM_003850",0,"SUCLA2","NM_003850","inside intron","inside",36350,"inside intron",-4616,3,12,"5' UTR","-",95334,53562,"8803",56701
"cg19149454",-0.0161504797927943,-5.8893466556539,1.31122374827294e-08,5.24159971099235e-06,0.00598590686995326,0.0586095649896125,"ADSL","NM_000026",130,"ADSL","NM_000026","promoter","promoter",130,NA,NA,NA,13,NA,"+",20071,19963,"158",10207
"cg21434440",-0.0241130059591073,-5.88904242583974,1.31333201969865e-08,5.24543429841375e-06,0.00599553140308692,0.108718234153347,"CD2AP","NM_012120",0,"CD2AP","NM_012120","inside intron","inside",673,"inside intron",-213,1,18,"inside transcription region","+",149471,145982,"23607",17076
"cg06449906",-0.0156705928878536,-5.8882902371128,1.31855882191596e-08,5.26170667368288e-06,0.00601939243469321,0.0968939137189369,"TBCA","NM_001297738",-37,"TBCA","NM_001297738","promoter","promoter",37,NA,NA,NA,4,NA,"-",85190,84838,"6902",46361
"cg24357447",-0.0228297680033577,-5.8878898058717,1.32134962398291e-08,5.26823826107693e-06,0.00603213280893309,0.0946418321882647,"FAM169B","NM_182562",-34191,"FAM169B","NM_182562","upstream","upstream",34191,NA,NA,NA,7,NA,"-",77220,46266,"283777",21248
"cg07864189",-0.0073736995254853,-5.88760595977354,1.32333138357362e-08,5.27153560130318e-06,0.00604117979909345,0.075853846174897,"NADSYN1","NM_018161",0,"NADSYN1","NM_018161","inside exon","inside",48,"inside exon",0,1,21,"5' UTR","+",48364,48055,"55191",36214
"cg18854735",-0.0141606540314217,-5.88736560058635,1.3250117976322e-08,5.27362781841734e-06,0.00604885110772469,0.101688981738545,"GNB1","NM_001282538",-446,"GNB1","NM_001282538","promoter","promoter",446,NA,NA,NA,12,NA,"-",105801,38122,"2782",20841
"cg25015674",-0.0115191996142479,-5.88675511443133,1.32928924984876e-08,5.2860437571098e-06,0.00606837823316205,0.0987579526757209,"RRAGC","NM_001271851",0,"RRAGC","NM_001271851","inside intron","inside",15059,"inside intron",-2352,7,12,"inside transcription region","-",36297,25086,"64121",43428
"cg19154173",-0.0100458535109412,-5.88650939091231,1.33101475200869e-08,5.28829884668182e-06,0.00607625537483741,0.0946779888232767,"ERP29","NM_001034025",0,"ERP29","NM_001034025","inside intron","inside",448,"inside intron",-186,1,2,"inside transcription region","+",9872,8701,"10961",3789
"cg06792598",-0.0104685525404696,-5.88574769051022,1.33637743585688e-08,5.30498845543767e-06,0.00610073672375332,0.0773925967150263,"CD55","NM_000574",84,"CD55","NM_000574","promoter","promoter",84,NA,NA,NA,10,NA,"+",39494,37844,"1604",10462
"cg10824491",-0.00577347431112166,-5.88479152260653,1.34313915791872e-08,5.32719797045133e-06,0.00613160486398948,0.0478551151785148,"SDF2","NM_006923",0,"SDF2","NM_006923","inside exon","inside",127,"inside exon",0,1,2,"5' UTR","-",1684,750,"6388",43057
"cg09149294",-0.00602687811659145,-5.88402126384748,1.34861050184448e-08,5.34373845692127e-06,0.00615658226028528,0.060950625066853,"ARRDC4","NM_183376",0,"ARRDC4","NM_183376","inside intron","inside",41009,"inside intron",5036,2,8,"inside transcription region","+",54284,51633,"91947",58568
"cg27634501",-0.00828922473592898,-5.88387518398447,1.34965059939809e-08,5.34373845692127e-06,0.00616133044083022,0.0784107740454459,"STX12","NM_177424",0,"STX12","NM_177424","inside exon","inside",102,"inside exon",0,1,9,"5' UTR","+",51269,49021,"23673",17228
"cg18273566",-0.00552857222975365,-5.88345511986511,1.35264585322818e-08,5.34676234811636e-06,0.00617500416394755,0.0629148023456336,"ZNF436","NM_001077195",0,"ZNF436","NM_001077195","inside intron","inside",1326,"inside intron",-472,2,4,"5' UTR","-",10416,6036,"80818",52285
"cg10818386",-0.0200655342215122,-5.88343958204436,1.35275676970303e-08,5.34676234811636e-06,0.00617551051207439,0.0907911061132403,"PEX12","NM_000286",-216,"PEX12","NM_000286","promoter","promoter",216,NA,NA,NA,3,NA,"-",3842,2239,"5193",33342
"cg04543156",-0.011625963303784,-5.88303410032342,1.35565443986793e-08,5.35358023622343e-06,0.00618873875307429,0.0604683934498552,"ATAD1","NM_032810",0,"ATAD1","NM_032810","inside exon","inside",67,"inside exon",0,1,10,"5' UTR","-",65042,59912,"84896",55290
"cg26409978",-0.00603173970814519,-5.88267641712135,1.35821556669918e-08,5.35905845290013e-06,0.00620043063000545,0.0723414104272576,"ZC3H10","NM_001303124",168,"ZC3H10","NM_001303124","promoter","promoter",168,NA,NA,NA,3,NA,"+",4248,1304,"84872",55239
"cg19255853",-0.0175089574869769,-5.88212104394418,1.36220159400578e-08,5.36715455619993e-06,0.00621862736284359,0.0818784692721619,"S100P","NM_005980",19955,"S100P","NM_005980","upstream","upstream",19955,NA,NA,NA,2,NA,"+",3331,3109,"6286",42734
"cg18125479",-0.0167974471405054,-5.88206300137984,1.3626188368427e-08,5.36715455619993e-06,0.00622053213063571,0.101752967876543,"PYGL","NM_001163940",0,"PYGL","NM_001163940","inside exon","inside",199,"inside exon",0,1,5,"inside transcription region","-",21279,20455,"5836",41173
"cg27337534",-0.0253417125278319,-5.88150948031127,1.36660414187949e-08,5.37821169501577e-06,0.0062387255662183,0.105997479587368,"PARP6","NM_020213",-1787,"PARP6","NM_020213","promoter","promoter",1787,NA,NA,NA,23,NA,"-",30106,26022,"56965",39232
"cg16279464",-0.0096252441639279,-5.88082633866985,1.37153841594928e-08,5.38518148048036e-06,0.00626125116880251,0.0913146095879219,"POLR2H","NM_001278698",387,"POLR2H","NM_001278698","promoter","promoter",387,NA,NA,NA,5,NA,"+",5169,4801,"5437",34300
"cg25864042",-0.0131714465587135,-5.88064789102079,1.37283019436559e-08,5.38518148048036e-06,0.00626714830520419,0.0858793097980113,"NAT10","NM_001144030",0,"NAT10","NM_001144030","inside exon","inside",180,"inside exon",0,1,27,"5' UTR","+",41347,34124,"55226",36364
"cg15405439",-0.0128265299112948,-5.88062143662506,1.37302179832745e-08,5.38518148048036e-06,0.00626802300219861,0.101632337770972,"EPHA6","NM_001080448",0,"EPHA6","NM_001080448","inside exon","inside",105,"inside exon",0,1,18,"inside transcription region","+",934361,934077,"285220",21662
"cg27204739",-0.0127715857593736,-5.8806115102106,1.37309370013102e-08,5.38518148048036e-06,0.00626835124327914,0.0803101302540589,"ANKEF1","NM_001303472",0,"ANKEF1","NM_001303472","inside exon","inside",86,"inside exon",0,1,11,"5' UTR","+",21710,11245,"63926",43167
"cg11554771",-0.0101412229912648,-5.8802527807088,1.37569462236464e-08,5.39075089390169e-06,0.00628022479139547,0.0927415815866415,"HES3","NM_001024598",0,"HES3","NM_001024598","inside exon","inside",1338,"inside exon",0,4,4,"3'UTR","+",1386,1141,"390992",27126
"cg17547537",-0.00752489153381326,-5.87942471786261,1.38171678910206e-08,5.40709619940047e-06,0.00630771676543347,0.0834105974246268,"JUP","NM_002230",0,"JUP","NM_002230","inside intron","inside",82570,"inside intron",78086,4,9,"inside transcription region","-",248245,248111,"3728",25862
"cg07249409",-0.0126532268565613,-5.87929712111108,1.38264703729101e-08,5.40709619940047e-06,0.0063119634693483,0.0726116450967709,"C1orf123","NM_001304759",0,"C1orf123","NM_001304759","inside exon","inside",281,"inside exon",0,2,8,"inside transcription region","-",6517,5916,"54987",35618
"cg21520042",-0.0154241944727676,-5.87919127570289,1.3834191711736e-08,5.40709619940047e-06,0.00631548836089974,0.0826510146276642,"KCNT2","NM_001287819",-144,"KCNT2","NM_001287819","promoter","promoter",144,NA,NA,NA,28,NA,"-",382586,380085,"343450",24931
"cg10290373",-0.0155497743449249,-5.87897502306514,1.38499802764668e-08,5.40863648071061e-06,0.00632269604595071,0.0760610996593993,"NTNG2","NM_032536",200,"NTNG2","NM_032536","promoter","promoter",200,NA,NA,NA,8,NA,"+",80886,75279,"84628",54814
