"chr","start","end","value","area","cluster","indexStart","indexEnd","L","clusterL","p.value","fwer","p.valueArea","fwerArea","name","annotation","description","region","distance","subregion","insideDistance","exonnumber","nexons","UTR","strand","geneL","codingL","Entrez","subjectHits","corrToExprs","corrToExprsTstat","corrToExprsPvalue","corrToExprsPvalueBonf"
"chr7",99614209,99614209,0.216186152545456,0.216186152545456,173990,198496,198496,1,12,0,0,0.145454545454545,0.015,"ZKSCAN1","NM_001287054","inside intron","inside",990,"inside intron",-859,1,4,"5' UTR","+",22184,4277,"7586",48722,0.093178103828439,1.47080766258353,0.142610782815914,1
"chr6",31699709,31699709,0.21586348282024,0.21586348282024,158313,158254,158254,1,79,0,0,0.145454545454545,0.015,"CLIC1","NM_001287593","inside intron","inside",4632,"inside intron",284,5,6,"inside transcription region","-",5983,5458,"1192",6017,0.0169931026081839,0.267106139260474,0.789609422589504,1
"chr10",122739544,122739544,-0.215810229692569,0.215810229692569,27899,258002,258002,1,7,0,0,0.145454545454545,0.015,"WDR11","NM_018117","downstream","downstream",128857,NA,NA,NA,29,NA,"+",58351,57292,"55717",37536,0.31160669816015,5.15388982327493,5.21202207850619e-07,0.00338103872232697
"chr3",183415124,183415124,0.215748125033182,0.215748125033182,134297,100095,100095,1,7,0,0,0.145454545454545,0.015,"YEATS2","NM_018023","promoter","promoter",482,NA,NA,NA,31,NA,"+",114807,95420,"55689",37435,0.0146101647212536,0.229641272925174,0.818559818229123,1
"chr15",86338692,86338692,0.215595273139201,0.215595273139201,67947,352577,352577,1,16,0,0,0.145454545454545,0.015,"KLHL25","NM_022480","promoter","promoter",503,NA,NA,NA,3,NA,"-",35630,1769,"64410",43867,-0.194080133637363,-3.10933053617594,0.00209405656774024,1
"chr2",9613781,9613781,-0.215576876901452,0.215576876901452,100535,47486,47486,1,10,0,0,0.145454545454545,0.015,"CPSF3","NM_016207","downstream","downstream",50115,NA,NA,NA,18,NA,"+",49573,49243,"51692",33131,-0.183532566918734,-2.93428352878759,0.00365659712270715,1
"chr19",14608092,14608092,0.215429444985233,0.215429444985233,93850,418361,418361,1,13,0,0,0.145454545454545,0.015,"GIPC1","NM_005716","promoter","promoter",1131,NA,NA,NA,9,NA,"-",18390,4560,"10755",3225,-0.42059799527622,-7.28601530999157,4.24362271901758e-12,2.7528380578267e-08
"chr6",10419016,10419016,-0.215289392262439,0.215289392262439,156046,148394,148394,1,26,0,0,0.145454545454545,0.015,"TFAP2A","NM_001032280","inside intron","inside",781,"inside intron",634,1,2,"inside transcription region","-",10478,9666,"7020",46689,-0.760037955750673,-18.3802521289462,3.39264064073257e-48,2.20080598364322e-44
"chr17",46507549,46507549,-0.215269329517226,0.215269329517226,83762,391637,391637,1,9,0,0,0.145454545454545,0.015,"SKAP1","NM_001075099","inside exon","inside",45,"inside exon",0,1,12,"5' UTR","-",293294,292884,"8631",56214,-0.0863376926687963,-1.3619891133954,0.174437150043892,1
"chr5",133983708,133983708,0.2151928782573,0.2151928782573,150948,136617,136617,1,10,0,0,0.145454545454545,0.015,"SEC24A","NM_001252231","promoter","promoter",767,NA,NA,NA,13,NA,"+",44913,44016,"10802",3375,-0.634697666022933,-12.9083411035959,1.66870143455285e-29,1.08248662059443e-25
"chr5",140864020,140864020,-0.214847464057046,0.214847464057046,151820,139129,139129,1,9,0,0,0.145454545454545,0.015,"PCDHGA8","NM_014004","inside intron","inside",92537,"inside intron",10353,2,4,"inside transcription region","+",121065,118359,"9708",60735,0.10664657442592,1.68569601916919,0.0931120744438788,1
"chr3",160938424,160938424,0.214653447545406,0.214653447545406,133361,98329,98329,1,9,0,0,0.145454545454545,0.015,"NMD3","NM_015938","promoter","promoter",675,NA,NA,NA,16,NA,"+",30696,28896,"51068",31632,-0.244934892746289,-3.97039407589941,9.40444090082851e-05,0.610066081236745
"chr1",3164642,3164642,-0.214453323434349,0.214453323434349,1106,3405,3405,1,18,0,0,0.145454545454545,0.015,"PRDM16","NM_022114","inside intron","inside",178900,"inside intron",-3940,3,17,"5' UTR","+",369443,29059,"63976",43256,-0.514472060872956,-9.42914958574359,3.08537641717674e-18,2.00148368182255e-14
"chr11",124805538,124805538,0.214371210872352,0.214371210872352,40000,288688,288688,1,8,0,0,0.145454545454545,0.015,"HEPACAM","NM_152722","inside intron","inside",770,"inside intron",279,1,5,"inside transcription region","-",13772,13365,"220296",13796,-0.173919673800428,-2.77566378268492,0.00592879088553589,1
"chr14",74111075,74111075,0.214363185918724,0.214363185918724,59294,333350,333350,1,9,0,0,0.145454545454545,0.015,"DNAL1","NM_001201366","promoter","promoter",503,NA,NA,NA,8,NA,"+",58853,50902,"83544",53336,-0.284752052761944,-4.66850007410158,4.97192461174837e-06,0.0322528749564117
"chr6",5851031,5851031,-0.214334589394973,0.214334589394973,155739,147694,147694,1,8,0,0,0.145454545454545,0.015,"FARS2","NM_006567","downstream","downstream",589754,NA,NA,NA,7,NA,"+",510539,402858,"10667",3031,-0.354836240405504,-5.96482987084389,8.39526786191366e-09,5.44601026202339e-05
"chr12",96183197,96183197,-0.21405959049847,0.21405959049847,47172,304850,304850,1,14,0,0,0.154545454545455,0.016,"NTN4","NM_021229","inside intron","inside",1733,"inside intron",1692,1,10,"5' UTR","-",133347,128328,"59277",41643,-0.789571247181088,-20.2214718945999,2.22647999841346e-54,1.44431757497081e-50
"chr2",124783698,124783698,0.213892201070543,0.213892201070543,107720,62794,62794,1,12,0,0,0.154545454545455,0.016,"CNTNAP5","NM_130773","inside intron","inside",834,"inside intron",-388,1,24,"inside transcription region","+",889999,888637,"129684",7197,0.51294235849433,9.39108278883486,4.02905329600887e-18,2.61364687312096e-14
"chr20",3868713,3868713,-0.213873272773754,0.213873272773754,115681,435336,435336,1,14,0,0,0.154545454545455,0.016,"PANK2","NM_024960","promoter","promoter",773,NA,NA,NA,7,NA,"+",35016,15123,"80025",51459,-0.147572730312658,-2.34496201393021,0.0198182138161225,1
"chr12",102272136,102272136,0.213818154094435,0.213818154094435,47475,305512,305512,1,9,0,0,0.154545454545455,0.016,"DRAM1","NM_018370","inside intron","inside",1031,"inside intron",-437,1,4,"inside transcription region","+",46296,43470,"55332",36752,-0.242467395288017,-3.92788404339555,0.00011113805930963,0.720952590741568
"chr17",4457835,4457835,-0.213769574284618,0.213769574284618,78841,379024,379024,1,9,0,0,0.154545454545455,0.016,"MYBBP1A","NM_001105538","inside intron","inside",846,"inside intron",-261,3,26,"inside transcription region","-",16490,15909,"10514",2499,0.0284673405189311,0.447580768991475,0.654846481031779,1
"chr16",75528459,75528459,0.21373546758446,0.21373546758446,75650,371029,371029,1,11,0,0,0.154545454545455,0.016,"CHST6","NM_021615","inside intron","inside",467,"inside intron",378,1,4,"5' UTR","-",17977,1187,"4166",28321,0.174718558523658,2.78881406551577,0.00570045298047453,1
"chr6",10884891,10884891,-0.213262062243244,0.213262062243244,156100,148581,148581,1,13,0,0,0.154545454545455,0.016,"SYCP2L","NM_001040274","promoter","promoter",2173,NA,NA,NA,30,NA,"+",87477,76679,"221711",14087,-0.0445567807944526,-0.700960934374835,0.483984558306607,1
"chr14",31027815,31027815,0.213183317532415,0.213183317532415,56948,328267,328267,1,13,0,0,0.154545454545455,0.016,"G2E3","NM_017769","promoter","promoter",514,NA,NA,NA,9,NA,"+",48946,18526,"55632",37239,0.0763116528819349,1.20283922851938,0.230185619954829,1
"chr1",203298100,203298100,-0.213177008654687,0.213177008654687,15885,37452,37452,1,8,0,0,0.154545454545455,0.016,"FMOD","NM_002023","downstream","downstream",22189,NA,NA,NA,3,NA,"-",10537,5927,"2331",16197,0.821734214229593,22.6622663832452,2.33559264139223e-62,1.51509894647114e-58
"chr2",170680664,170680664,0.213088872093466,0.213088872093466,109938,66963,66963,1,9,0,0,0.154545454545455,0.016,"METTL5","NM_001293186","inside intron","inside",756,"inside intron",334,2,8,"inside transcription region","-",13152,12777,"29081",22314,0.260832137583548,4.24628758499478,3.07519770782306e-05,0.199488075306482
"chr18",19758221,19758221,-0.213036888311626,0.213036888311626,88861,405263,405263,1,7,0,0,0.154545454545455,0.016,"GATA6","NM_005257","inside intron","inside",7327,"inside intron",-1138,2,6,"inside transcription region","+",31597,29680,"2627",19479,0.255169481162804,4.14760405182896,4.61776733152128e-05,0.299554566795785
"chr2",105852798,105852798,-0.213010683676563,0.213010683676563,106564,60424,60424,1,9,0,0,0.154545454545455,0.016,"GPR45","NM_007227","upstream","upstream",5402,NA,NA,NA,1,NA,"+",1724,1118,"11250",4669,0.139854231151316,2.21979771587209,0.0273373579938276,1
"chr3",70048377,70048377,0.21294301737344,0.21294301737344,128930,89262,89262,1,7,0,0,0.154545454545455,0.016,"MITF","NM_000248","downstream","downstream",259791,NA,NA,NA,10,NA,"+",228902,225650,"4286",28698,0.62605245517979,12.6178854632215,1.58460138821097e-28,1.02793092053245e-24
"chr3",138552648,138552648,0.212721282113034,0.212721282113034,132205,95767,95767,1,9,0,0,0.163636363636364,0.017,"PIK3CB","NM_001256045","upstream","upstream",74447,NA,NA,NA,22,NA,"-",106661,103954,"5291",33605,0.217417942001063,3.50073361513593,0.000550016451445917,1
"chr22",18633123,18633123,0.212338565049782,0.212338565049782,120910,448628,448628,1,10,0,0,0.163636363636364,0.017,"USP18","NM_017414","inside intron","inside",365,"inside intron",-133,1,11,"5' UTR","+",27404,19153,"11274",4789,-0.602073292204489,-11.851002901286,5.71664409369828e-26,3.70838702358208e-22
"chr11",64015574,64015574,-0.212316225489627,0.212316225489627,34907,276418,276418,1,8,0,0,0.163636363636364,0.017,"PPP1R14B","NM_138689","promoter","promoter",1161,NA,NA,NA,4,NA,"-",2462,1919,"26472",19619,NA,NA,NA,NA
"chr14",54864572,54864572,-0.212160716832458,0.212160716832458,57859,330366,330366,1,14,0,0,0.163636363636364,0.017,"CDKN3","NM_001130851","inside intron","inside",899,"inside intron",-776,1,7,"inside transcription region","+",23261,23009,"1033",1945,-0.715485813870187,-16.0954815889019,2.15092108022849e-40,1.39530250474422e-36
"chr8",104384584,104384584,0.211932302284539,0.211932302284539,185245,223552,223552,1,11,0,0,0.163636363636364,0.017,"CTHRC1","NM_001256099","inside intron","inside",841,"inside intron",-549,1,4,"inside transcription region","+",11489,10943,"115908",5569,-0.331851662961702,-5.52876461438655,8.15997507046191e-08,0.000529337582820864
"chr22",38141419,38141419,-0.211847485223832,0.211847485223832,122495,452546,452546,1,13,0,0,0.163636363636364,0.017,"TRIOBP","NM_001039141","inside intron","inside",47824,"inside intron",-4379,9,22,"inside transcription region","+",78968,56939,"11078",4117,-0.735691607350294,-17.0707467612628,9.78433295164358e-44,6.34709678573119e-40
"chr12",105380772,105380772,0.211787319227014,0.211787319227014,47671,305933,305933,1,7,0,0,0.163636363636364,0.017,"C12orf45","NM_152318","inside intron","inside",674,"inside intron",-526,1,4,"inside transcription region","+",8407,8343,"121053",6192,-0.46395250933905,-8.23108102370429,1.06086920882316e-14,6.88185855763585e-11
"chr8",22959168,22959168,-0.211759745740811,0.211759745740811,181051,214650,214650,1,17,0,0,0.163636363636364,0.017,"TNFRSF10C","NM_003841","promoter","promoter",1159,NA,NA,NA,5,NA,"+",14623,13909,"8794",56663,0.102985471448561,1.62719575846628,0.104965356182677,1
"chr2",64879911,64879911,-0.211704511697398,0.211704511697398,104061,54813,54813,1,9,0,0,0.163636363636364,0.017,"SERTAD2","NM_014755","inside intron","inside",1135,"inside intron",842,1,2,"5' UTR","-",22291,944,"9792",61018,-0.0190993182735524,-0.300224111921608,0.764257718823998,1
"chr6",101846409,101846409,0.211485811279849,0.211485811279849,162228,171227,171227,1,19,0,0,0.163636363636364,0.017,"GRIK2","NM_001166247","promoter","promoter",260,NA,NA,NA,7,NA,"+",346349,345430,"2898",22162,-0.301737214611135,-4.97400531434512,1.22603706091174e-06,0.00795330241413446
"chr1",155243807,155243807,0.211471394286434,0.211471394286434,12696,30498,30498,1,11,0,0,0.163636363636364,0.017,"CLK2","NM_001291","inside intron","inside",3694,"inside intron",-3038,2,13,"5' UTR","-",14842,7759,"1196",6064,-0.494217315787402,-8.93465059463749,9.49913092805764e-17,6.16208623303099e-13
"chr7",1125817,1125817,0.211433738410969,0.211433738410969,167191,182322,182322,1,9,0,0,0.163636363636364,0.017,"C7orf50","NM_001134395","inside intron","inside",52076,"inside intron",41075,2,5,"inside transcription region","-",141270,129760,"84310",54401,-0.479189120404927,-8.58032128223678,1.04695403921587e-15,6.79159085239336e-12
"chr17",8924093,8924093,-0.211239610427233,0.211239610427233,79619,381519,381519,1,10,0,0,0.163636363636364,0.017,"NTN1","NM_004822","promoter","promoter",766,NA,NA,NA,7,NA,"+",222458,217594,"9423",59702,-0.454658538787731,-8.02267204843684,4.12103049492133e-14,2.67331248205546e-10
"chr6",33259866,33259866,0.211204322962066,0.211204322962066,158744,162874,162874,1,8,0,0,0.163636363636364,0.017,"RGL2","NM_001243738","inside exon","inside",7299,"inside exon",0,17,17,"3'UTR","-",7734,4668,"5863",41384,-0.208613573901479,-3.35237819925928,0.000926396189465058,1
"chr2",11605539,11605539,0.211133265909926,0.211133265909926,100787,48045,48045,1,12,0,0,0.163636363636364,0.017,"E2F6","NM_001278275","inside intron","inside",764,"inside intron",358,1,7,"5' UTR","-",21802,5253,"1876",12042,-0.666362097915372,-14.0454734511703,2.29591343560803e-33,1.48935904567893e-29
"chr1",151300868,151300868,0.211126115066022,0.211126115066022,12087,28795,28795,1,12,0,0,0.163636363636364,0.017,"PI4KB","NM_001198773","promoter","promoter",677,NA,NA,NA,13,NA,"-",35918,33327,"5298",33626,-0.325554136161369,-5.41127258759543,1.47414091437361e-07,0.000956275211154164
"chr1",47973566,47973566,-0.211053612282823,0.211053612282823,7516,18404,18404,1,9,0,0,0.163636363636364,0.017,"FOXD2","NM_004474","downstream","downstream",71877,NA,NA,NA,1,NA,"+",4674,1487,"2306",15293,0.86199249587099,26.72462670748,5.69095034991161e-75,3.69171949198766e-71
"chr6",31800885,31800885,0.21095982513763,0.21095982513763,158356,158687,158687,1,55,0,0,0.163636363636364,0.017,"C6orf48","NM_001040437","promoter","promoter",1808,NA,NA,NA,5,NA,"+",4848,2334,"50854",31353,-0.360012614922053,-6.06469577722258,4.90270720970771e-09,3.18038616693739e-05
"chr1",65719627,65719627,0.210738540247047,0.210738540247047,8771,21000,21000,1,7,0,0,0.163636363636364,0.017,"DNAJC6","NM_001256864","promoter","promoter",521,NA,NA,NA,12,NA,"+",138400,138329,"9829",61125,0.260335321601024,4.23761091650384,3.18805734647794e-05,0.206809280066024
"chr10",38264581,38264581,0.210567915661436,0.210567915661436,22360,245786,245786,1,11,0,0,0.163636363636364,0.017,"ZNF25","NM_145011","inside intron","inside",872,"inside intron",852,1,7,"5' UTR","-",26658,5326,"219749",13649,-0.704054893672124,-15.5814412393569,1.25097973769022e-38,8.11510555839647e-35
"chr22",26986419,26986419,0.210180653083005,0.210180653083005,121727,450625,450625,1,8,0,0,0.163636363636364,0.017,"TPST2","NM_001008566","promoter","promoter",330,NA,NA,NA,7,NA,"-",64375,13409,"8459",54778,0.167543098774665,2.67090032338163,0.0080653651272072,1
"chr6",139349120,139349120,-0.210037531377761,0.210037531377761,164123,175135,175135,1,12,0,0,0.163636363636364,0.017,"ABRACL","NM_021243","promoter","promoter",699,NA,NA,NA,3,NA,"+",14620,8742,"58527",41324,0.507944201546,9.26754430279424,9.5464077190841e-18,6.19275468736986e-14
"chr1",6640976,6640976,0.209992683045027,0.209992683045027,1822,5227,5227,1,11,0,0,0.163636363636364,0.017,"ZBTB48","NM_001278647","inside exon","inside",907,"inside exon",0,2,11,"inside transcription region","+",9271,8602,"3104",23373,-0.0901506094601162,-1.42262074867455,0.156102720092292,1
"chr7",27218867,27218867,-0.209820233669601,0.209820233669601,169479,188726,188726,1,9,0,0,0.163636363636364,0.017,"HOXA11","NM_005523","downstream","downstream",5968,NA,NA,NA,2,NA,"-",4059,2348,"3207",24066,0.457165304334608,8.07855209004625,2.86950541830588e-14,1.86144816485502e-10
"chr17",37331768,37331768,0.209619034601421,0.209619034601421,82193,387494,387494,1,7,0,0,0.163636363636364,0.017,"CACNB1","NM_000723","inside exon","inside",22188,"inside exon",0,14,14,"inside transcription region","-",24247,22302,"782",49295,-0.346645389984038,-5.80808283032514,1.9283431146826e-08,0.00012509161784946
"chr7",141250424,141250424,-0.209605068924653,0.209605068924653,176857,204626,204626,1,10,0,0,0.163636363636364,0.017,"AGK","NM_018238","promoter","promoter",654,NA,NA,NA,16,NA,"+",103131,97457,"55750",37676,-0.365930392351583,-6.17965465100872,2.61946110045747e-09,1.69924441586676e-05
"chr12",49109780,49109780,0.209461562507263,0.209461562507263,44101,297572,297572,1,15,0,0,0.163636363636364,0.017,"CCNT1","NM_001240","inside intron","inside",1001,"inside intron",517,1,8,"inside transcription region","-",28540,20858,"904",57661,0.396928936425235,6.79657063771069,7.92424940211842e-11,5.14046058715422e-07
"chr11",120208749,120208749,-0.20917149808248,0.20917149808248,39530,287758,287758,1,11,0,0,0.163636363636364,0.017,"ARHGEF12","NM_001198665","inside intron","inside",1131,"inside intron",-764,1,40,"inside transcription region","+",153027,147833,"23365",16427,0.597189795723769,11.701252728327,1.78567324349055e-25,1.15836623305232e-21
"chr11",118017101,118017101,-0.209132680704008,0.209132680704008,39197,286861,286861,1,13,0,0,0.163636363636364,0.017,"SCN4B","NM_001142348","inside intron","inside",6529,"inside intron",-5049,2,3,"inside transcription region","-",19538,15646,"6330",42908,-0.544156908817764,-10.193403625942,1.31916406750553e-20,8.55741730590836e-17
"chr1",154935120,154935120,0.209083853902804,0.209083853902804,12594,30099,30099,1,8,0,0,0.163636363636364,0.017,"SHC1","NM_001130040","inside exon","inside",5970,"inside exon",0,8,8,"3'UTR","-",6315,3188,"6464",44156,0.446309109285657,7.83826563767183,1.34709200325742e-13,8.73858582513089e-10
"chr3",37284287,37284287,0.208952682896299,0.208952682896299,126144,82946,82946,1,12,0,0,0.163636363636364,0.017,"GOLGA4","NM_001172713","promoter","promoter",395,NA,NA,NA,5,NA,"+",46100,45740,"2803",20922,0.181612418742506,2.90253175936273,0.00403473626290703,1
"chr2",3641709,3641709,-0.208713190468326,0.208713190468326,100118,46684,46684,1,12,0,0,0.163636363636364,0.017,"COLEC11","NM_001255982","promoter","promoter",713,NA,NA,NA,8,NA,"+",49812,39689,"78989",49421,0.183266753265039,2.92988594349538,0.00370695956846313,1
"chr11",69489380,69489380,0.208619585958957,0.208619585958957,36152,280239,280239,1,10,0,0,0.163636363636364,0.017,"ORAOV1","NM_153451","inside intron","inside",785,"inside intron",577,1,3,"inside transcription region","-",4019,3494,"220064",13764,-0.537637653945609,-10.0212044326756,4.57874664641585e-20,2.97023294952997e-16
"chr1",19281949,19281949,0.208617012055822,0.208617012055822,3874,9433,9433,1,7,0,0,0.163636363636364,0.017,"IFFO2","NM_001136265","inside intron","inside",877,"inside intron",212,1,9,"inside transcription region","-",52052,47771,"126917",6865,0.758185987257986,18.2747351264518,7.73220020606463e-48,5.01587827367413e-44
"chr18",19285336,19285336,0.208494234398512,0.208494234398512,88835,405209,405209,1,12,0,0,0.163636363636364,0.017,"MIB1","NM_020774","inside intron","inside",418,"inside intron",-251,1,21,"5' UTR","+",165994,73117,"57534",40252,0.487269124778058,8.76956101560507,2.92365305365031e-16,1.89657373590295e-12
"chr14",81999503,81999503,0.208260869647478,0.208260869647478,59936,334758,334758,1,14,0,0,0.163636363636364,0.017,"SEL1L","NM_001244984","inside intron","inside",702,"inside intron",515,1,8,"inside transcription region","-",35051,34300,"6400",43279,-0.654169005975071,-13.5930384155385,7.99508769194055e-32,5.18641338576183e-28
"chr1",85724454,85724454,0.208260078543695,0.208260078543695,9487,22500,22500,1,9,0,0,0.163636363636364,0.017,"C1orf52","NM_198077","inside intron","inside",901,"inside intron",-48,2,3,"inside transcription region","-",2229,2190,"148423",9220,0.269310223137,4.39491937005816,1.64396230998164e-05,0.106643835048509
"chr10",89418898,89418898,-0.207950810341246,0.207950810341246,25364,251880,251880,1,10,0,0,0.163636363636364,0.017,"PAPSS2","NM_001015880","promoter","promoter",578,NA,NA,NA,13,NA,"+",87986,85988,"9060",57822,0.240872212229617,3.90044540896896,0.00012369531158518,0.802411486253066
"chr8",119124790,119124790,-0.207826906435033,0.207826906435033,185698,224409,224409,1,11,0,0,0.163636363636364,0.017,"EXT1","NM_000127","promoter","promoter",732,NA,NA,NA,11,NA,"-",312456,311334,"2131",13405,-0.180671000503379,-2.88697693869618,0.00423272483370467,1
"chr2",216947743,216947743,0.207820592054926,0.207820592054926,112278,72034,72034,1,17,0,0,0.163636363636364,0.017,"TMEM169","NM_001142310","inside intron","inside",1154,"inside intron",-1046,1,3,"5' UTR","+",20917,4578,"92691",58943,-0.11097803581942,-1.75499760769744,0.080494514796824,1
"chr22",29950274,29950274,0.207321994427473,0.207321994427473,121887,451019,451019,1,9,0,0,0.163636363636364,0.017,"NIPSNAP1","NM_001202502","downstream","downstream",26811,NA,NA,NA,10,NA,"-",26287,25147,"8508",55632,0.458905426718141,8.11748530299453,2.22804733026399e-14,1.44533430314225e-10
"chr19",36704922,36704922,0.207211433973501,0.207211433973501,95601,423199,423199,1,18,0,0,0.163636363636364,0.017,"ZNF565","NM_001042474","inside intron","inside",644,"inside intron",601,1,3,"5' UTR","-",19837,7092,"147929",9093,0.250859511681035,4.07280058713933,6.25328268442618e-05,0.405650447738726
"chr14",23623480,23623480,0.207135856116373,0.207135856116373,56608,327305,327305,1,9,0,0,0.163636363636364,0.017,"SLC7A8","NM_001267036","inside intron","inside",29389,"inside intron",11013,3,6,"inside transcription region","-",58365,55652,"23428",16590,-0.524968492929558,-9.69371110112176,4.76555325367896e-19,3.09141439566154e-15
"chr15",62353371,62353371,0.206626963600152,0.206626963600152,65410,347217,347217,1,10,0,0,0.163636363636364,0.017,"VPS13C","NM_001018088","promoter","promoter",707,NA,NA,NA,85,NA,"-",208074,205917,"54832",35105,-0.529277319732552,-9.80406258873983,2.17213611889464e-19,1.40906470032696e-15
"chr19",38755753,38755753,-0.20649060226716,0.20649060226716,95811,423808,423808,1,12,0,0,0.163636363636364,0.017,"SPINT2","NM_001166103","inside intron","inside",655,"inside intron",-114,1,6,"inside transcription region","+",28156,27113,"10653",2948,-0.322791827143259,-5.35999222776729,1.90274276740883e-07,0.00123430923321811
"chr20",4802684,4802684,0.20643593359137,0.20643593359137,115736,435465,435465,1,7,0,0,0.163636363636364,0.017,"RASSF2","NM_014737","inside intron","inside",1607,"inside intron",290,2,12,"5' UTR","-",43622,16757,"9770",60933,-0.369581939273922,-6.25101992344779,1.76788253860525e-09,1.14682540279323e-05
"chr2",233793311,233793311,-0.206389959034848,0.206389959034848,113682,75090,75090,1,7,0,0,0.163636363636364,0.017,"NGEF","NM_001114090","inside intron","inside",84640,"inside intron",-1414,4,15,"inside transcription region","-",134555,95401,"25791",18197,0.246162465712221,3.99157320093033,8.6490771003102e-05,0.561065631497123
"chr22",38082108,38082108,0.20638127964423,0.20638127964423,122490,452525,452525,1,7,0,0,0.163636363636364,0.017,"TRIOBP","NM_001039141","promoter","promoter",236,NA,NA,NA,13,NA,"+",40166,25135,"11078",4114,0.750795533709017,17.8638281128904,1.92511768085475e-46,1.24882383957047e-42
"chr17",48266268,48266268,-0.206378870481393,0.206378870481393,84116,392764,392764,1,7,0,0,0.163636363636364,0.017,"COL1A1","NM_000088","inside exon","inside",12732,"inside exon",0,41,51,"inside transcription region","-",17543,16011,"1277",6960,-0.231450787126446,-3.73906286760579,0.000229405191124075,1
"chr4",7939940,7939940,-0.206092694753109,0.206092694753109,137255,107549,107549,1,7,0,0,0.172727272727273,0.018,"AFAP1","NM_001134647","inside intron","inside",1713,"inside intron",1442,1,18,"5' UTR","-",181213,108313,"60312",42023,0.497320773166171,9.00911607870346,5.7015836106178e-17,3.69861728820777e-13
"chr7",128049508,128049508,-0.205965903662408,0.205965903662408,175743,202291,202291,1,11,0,0,0.181818181818182,0.019,"IMPDH1","NM_000883","inside exon","inside",528,"inside exon",0,2,16,"inside transcription region","-",17705,16894,"3614",25567,-0.379945229201965,-6.45540539584171,5.63727097189154e-10,3.65689767946604e-06
"chr11",3817692,3817692,0.205890252036585,0.205890252036585,30741,266799,266799,1,23,0,0,0.181818181818182,0.019,"NUP98","NM_005387","inside intron","inside",1330,"inside intron",937,1,7,"5' UTR","-",26044,10368,"4928",30719,0.257017229750707,4.17975406013843,4.04823518688995e-05,0.262609016573551
"chr20",31871352,31871352,0.205857317141709,0.205857317141709,116613,437837,437837,1,9,0,0,0.181818181818182,0.019,"BPIFB1","NM_033197","inside intron","inside",411,"inside intron",-291,1,16,"5' UTR","+",26743,23693,"92747",58970,0.0997457186758516,1.57548402085787,0.116419530033807,1
"chr20",32263104,32263104,-0.205815545501603,0.205815545501603,116642,437918,437918,1,7,0,0,0.181818181818182,0.019,"E2F1","NM_005225","downstream","downstream",11106,NA,NA,NA,7,NA,"-",10918,9532,"1869",12027,0.314327700857621,5.20380482767861,4.09433882308022e-07,0.00265599759453214
"chr10",135170752,135170752,-0.205809611706069,0.205809611706069,29559,262754,262754,1,13,0,0,0.181818181818182,0.019,"FUOM","NM_001098483","inside exon","inside",777,"inside exon",0,2,6,"inside transcription region","-",2734,2637,"282969",21045,0.167035514297674,2.66257602091877,0.00826179330695044,1
"chr7",119914282,119914282,0.205740570076556,0.205740570076556,175314,201465,201465,1,7,0,0,0.190909090909091,0.02,"KCND2","NM_012281","inside exon","inside",560,"inside exon",0,1,6,"5' UTR","+",476665,473225,"3751",26073,0.0919818053254686,1.4517620159676,0.147831648404568,1
"chr20",33735834,33735834,0.20565521993377,0.20565521993377,116777,438273,438273,1,14,0,0,0.190909090909091,0.02,"EDEM2","NM_001145025","inside intron","inside",130126,"inside intron",-1095,6,14,"5' UTR","-",160132,28423,"55741",37639,-0.724022758353677,-16.4965285212585,9.0560911015428e-42,5.87468629757081e-38
"chr17",8066669,8066669,-0.204961618489911,0.204961618489911,79475,381122,381122,1,9,0,0,0.2,0.021,"VAMP2","NM_014232","promoter","promoter",376,NA,NA,NA,5,NA,"-",3828,2024,"6844",46127,0.628306913792363,12.6928731658303,8.87086428407217e-29,5.75452966107762e-25
"chr13",45884877,45884877,0.204919128148849,0.204919128148849,52856,318497,318497,1,10,0,0,0.2,0.021,"TPT1","NM_001286272","downstream","downstream",30420,NA,NA,NA,6,NA,"-",3993,3683,"7178",47312,-0.152415942174435,-2.42372226920312,0.0160785456282235,1
"chr7",112089798,112089798,0.20486575141611,0.20486575141611,175040,200916,200916,1,13,0,0,0.2,0.021,"IFRD1","NM_001007245","inside intron","inside",26599,"inside intron",6019,2,12,"5' UTR","+",54059,19700,"3475",25089,0.309656226308484,5.11819621585646,6.18732572161441e-07,0.00401371819561127
"chr6",83776998,83776998,0.204675087010138,0.204675087010138,161602,169668,169668,1,11,0,0,0.2,0.021,"DOPEY1","NM_001199942","promoter","promoter",387,NA,NA,NA,39,NA,"+",101090,71189,"23033",15190,NA,NA,NA,NA
"chr2",24273454,24273454,-0.204349086740953,0.204349086740953,101449,49308,49308,1,13,0,0,0.2,0.021,"FKBP1B","NM_004116","inside intron","inside",870,"inside intron",-697,1,4,"inside transcription region","+",13966,13213,"2281",14518,0.115507149694085,1.82756991980022,0.0688156894599806,1
"chr11",126137977,126137977,0.203757584685038,0.203757584685038,40169,289031,289031,1,17,0,0,0.209090909090909,0.022,"SRPR","NM_001177842","inside intron","inside",900,"inside intron",-369,2,13,"inside transcription region","-",6063,4888,"6734",45865,-0.719114306938466,-16.2640694097024,5.67754622694299e-41,3.68302423741792e-37
